 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 
    72    0.638            1000             711             666               0;
    73    0.646            1000             711             666               0;
    74    0.655            1000             712             666               0;
    75    0.664            1000             712             666               0;
    76    0.673            1000             713             666               0;
    77    0.682            1000             714             666               0;
    78    0.691            1000             716             666               0;
    79    0.699            1000             717             666               0;
    80    0.708            1000             719             666               0;
    81    0.717            1000             721             666               0;
    82    0.726            1000             724             666               0;
    83    0.735            1000             726             666               0;
    84    0.744            1000             729             666               0;
    85    0.753            1000             733             666               0;
    86    0.761            1000             737             666               0;
    87    0.770            1000             742             666               0;
    88    0.779            1000             747             666               0;
    89    0.788            1000             752             666               0;
    90    0.797            1000             757             666               0;
    91    0.806            1000             762             667               0;
    92    0.815            1000             767             668               0;
    93    0.823            1000             772             669               0;
    94    0.832            1000             777             670               0;
    95    0.841            1000             781             671               0;
    96    0.850            1000             785             672               0;
    97    0.859            1000             789             673               0;
    98    0.868            1000             792             675               0;
    99    0.877            1000             794             676               0;
   100    0.885            1000             797             677               0;
   101    0.894            1000             800             678               0;
   102    0.903            1000             802             679               0;
   103    0.912            1000             804             680               0;
   104    0.921            1000             805             681               0;
   105    0.930            1000             807             682               0;
   106    0.939            1000             809             683               0;
   107    0.947            1000             810             683               0;
   108    0.956            1000             812             683               0;
   109    0.965            1000             813             684               0;
   110    0.974            1000             814             684               0;
   111    0.983            1000             816             684               0;
   112    0.992            1000             818             684               0;
   113    1.001            1000             820             685               0;
   114    1.009            1000             823             685               0;
   115    1.018            1000             826             685               0;
   116    1.027            1000             830             686               0;
   117    1.036            1000             834             687               0;
   118    1.045            1000             839             688               0;
   119    1.054            1000             845             690               0;
   120    1.063            1000             851             692               0;
   121    1.071            1000             858             694               0;
   122    1.080            1000             867             697               0;
   123    1.089            1000             876             700               0;
   124    1.098            1000             886             704               0;
   125    1.107            1000             897             709               0;
   126    1.116            1000             908             716               0;
   127    1.124            1000             920             723               0;
   128    1.133            1000             931             733               0;
   129    1.142            1000             941             744               0;
   130    1.151            1000             951             758               0;
   131    1.160            1000             959             775               0;
   132    1.169            1000             966             792               0;
   133    1.178            1000             972             810               0;
   134    1.186            1000             977             828               0;
   135    1.195            1000             981             844               0;
   136    1.204            1000             983             860               0;
   137    1.213            1000             984             875               0;
   138    1.222            1000             985             889               0;
   139    1.231            1000             985             902               0;
   140    1.240            1000             985             913               0;
   141    1.248            1000             985             922               0;
   142    1.257            1000             985             929               0;
   143    1.266            1000             985             933               0;
   144    1.275            1000             985             934               0;
   145    1.284            1000             985             933               0;
   146    1.293            1000             985             929               0;
   147    1.302            1000             985             925               0;
   148    1.310            1000             985             921               0;
   149    1.319            1000             986             919               0;
   150    1.328            1000             986             917               0;
   151    1.337            1000             987             917               0;
   152    1.346            1000             987             917               0;
   153    1.355            1000             987             919               0;
   154    1.364            1000             987             919               0;
   155    1.372            1000             988             920               0;
   156    1.381            1000             988             920               0;
   157    1.390            1000             989             921               0;
   158    1.399            1000             989             921               0;
   159    1.408            1000             990             921               0;
   160    1.417            1000             991             921               0;
   161    1.426            1000             992             921               0;
   162    1.434            1000             993             921               0;
   163    1.443            1000             994             921               0;
   164    1.452            1000             995             921               0;
   165    1.461            1000             996             921               0;
   166    1.470            1000             996             921               0;
   167    1.479            1000             997             921               0;
   168    1.488            1000             998             921               0;
   169    1.496            1000             998             921               0;
   170    1.505            1000             999             921               0;
   171    1.514            1000            1000             921               0;
   172    1.523            1000            1001             921               0;
   173    1.532            1000            1001             921               0;
   174    1.541            1000            1002             921               0;
   175    1.549            1000            1003             921               0;
   176    1.558            1000            1004             921               0;
   177    1.567            1000            1005             921               0;
   178    1.576            1000            1006             921               0;
   179    1.585            1000            1007             921               0;
   180    1.594            1000            1009             921               0;
   181    1.603            1000            1010             921               0;
   182    1.611            1000            1012             921               0;
   183    1.620            1000            1015             921               0;
   184    1.629            1000            1018             921               0;
   185    1.638            1000            1021             921               0;
   186    1.647            1000            1025             921               0;
   187    1.656            1000            1030             921               0;
   188    1.665            1000            1034             921               0;
   189    1.673            1000            1038             922               0;
   190    1.682            1000            1041             923               0;
   191    1.691            1000            1044             923               0;
   192    1.700            1000            1046             924               0;
   193    1.709            1000            1048             925               0;
   194    1.718            1000            1050             925               0;
   195    1.727            1000            1051             925               0;
   196    1.735            1000            1052             926               0;
   197    1.744            1000            1052             926               0;
   198    1.753            1000            1052             926               0;
   199    1.762            1000            1052             926               0;
   200    1.771            1000            1052             926               0;
   201    1.780            1000            1052             926               0;
   202    1.789            1000            1052             926               0;
   203    1.797            1000            1052             926               0;
   204    1.806            1000            1052             926               0;
   205    1.815            1000            1052             926               0;
   206    1.824            1000            1052             926               0;
   207    1.833            1000            1052             926               0;
   208    1.842            1000            1052             926               0;
   209    1.851            1000            1052             926               0;
   210    1.859            1000            1052             926               0;
   211    1.868            1000            1052             926               0;
   212    1.877            1000            1052             926               0;
   213    1.886            1000            1053             926               0;
   214    1.895            1000            1053             926               0;
   215    1.904            1000            1055             926               0;
   216    1.913            1000            1056             926               0;
   217    1.921            1000            1057             926               0;
   218    1.930            1000            1057             926               0;
   219    1.939            1000            1058             926               0;
   220    1.948            1000            1058             926               0;
   221    1.957            1000            1059             926               0;
   222    1.966            1000            1059             927               0;
   223    1.974            1000            1059             927               0;
   224    1.983            1000            1059             927               0;
   225    1.992            1000            1059             927               0;
   226    2.001            1000            1059             927               0;
   227    2.010            1000            1059             927               0;
   228    2.019            1000            1059             927               0;
   229    2.028            1000            1059             927               0;
   230    2.036            1000            1059             927               0;
   231    2.045            1000            1060             927               0;
   232    2.054            1000            1061             927               0;
   233    2.063            1000            1062             927               0;
   234    2.072            1000            1063             927               0;
   235    2.081            1000            1065             927               0;
   236    2.090            1000            1066             927               0;
   237    2.098            1000            1068             928               0;
   238    2.107            1000            1069             928               0;
   239    2.116            1000            1070             929               0;
   240    2.125            1000            1072             929               0;
   241    2.134            1000            1073             929               0;
   242    2.143            1000            1073             929               0;
   243    2.152            1000            1074             929               0;
   244    2.160            1000            1074             929               0;
   245    2.169            1000            1075             929               0;
   246    2.178            1000            1075             929               0;
   247    2.187            1000            1076             929               0;
   248    2.196            1000            1076             929               0;
   249    2.205            1000            1076             929               0;
   250    2.214            1000            1076             929               0;
   251    2.222            1000            1077             929               0;
   252    2.231            1000            1077             929               0;
   253    2.240            1000            1078             929               0;
   254    2.249            1000            1078             929               0;
   255    2.258            1000            1079             929               0;
   256    2.267            1000            1080             929               0;
   257    2.276            1000            1081             930               0;
   258    2.284            1000            1081             930               0;
   259    2.293            1000            1081             930               0;
   260    2.302            1000            1082             930               0;
   261    2.311            1000            1082             930               0;
   262    2.320            1000            1082             930               0;
   263    2.329            1000            1082             930               0;
   264    2.338            1000            1082             930               0;
   265    2.346            1000            1083             930               0;
   266    2.355            1000            1083             930               0;
   267    2.364            1000            1083             930               0;
   268    2.373            1000            1084             931               0;
   269    2.382            1000            1085             931               0;
   270    2.391            1000            1085             931               0;
   271    2.399            1000            1086             931               0;
   272    2.408            1000            1087             931               0;
   273    2.417            1000            1088             931               0;
   274    2.426            1000            1089             931               0;
   275    2.435            1000            1090             931               0;
   276    2.444            1000            1092             931               0;
   277    2.453            1000            1093             932               0;
   278    2.461            1000            1093             932               0;
   279    2.470            1000            1095             932               0;
   280    2.479            1000            1097             932               0;
   281    2.488            1000            1098             933               0;
   282    2.497            1000            1101             933               0;
   283    2.506            1000            1104             933               0;
   284    2.515            1000            1107             933               0;
   285    2.523            1000            1110             933               0;
   286    2.532            1000            1114             933               0;
   287    2.541            1000            1117             934               0;
   288    2.550            1000            1121             936               0;
   289    2.559            1000            1125             937               0;
   290    2.568            1000            1127             938               0;
   291    2.577            1000            1130             939               0;
   292    2.585            1000            1133             941               0;
   293    2.594            1000            1136             942               0;
   294    2.603            1000            1138             944               0;
   295    2.612            1000            1141             945               0;
   296    2.621            1000            1142             946               0;
   297    2.630            1000            1142             948               0;
   298    2.639            1000            1143             949               0;
   299    2.647            1000            1143             950               0;
   300    2.656            1000            1143             950               0;
   301    2.665            1000            1143             951               0;
   302    2.674            1000            1143             951               0;
   303    2.683            1000            1143             951               0;
   304    2.692            1000            1143             951               0;
   305    2.701            1000            1143             951               0;
   306    2.709            1000            1143             951               0;
   307    2.718            1000            1143             951               0;
   308    2.727            1000            1143             951               0;
   309    2.736            1000            1143             951               0;
   310    2.745            1000            1143             951               0;
   311    2.754            1000            1143             951               0;
   312    2.763            1000            1143             951               0;
   313    2.771            1000            1143             951               0;
   314    2.780            1000            1143             951               0;
   315    2.789            1000            1143             951               0;
   316    2.798            1000            1143             951               0;
   317    2.807            1000            1143             951               0;
   318    2.816            1000            1143             951               0;
   319    2.824            1000            1143             951               0;
   320    2.833            1000            1143             951               0;
   321    2.842            1000            1143             951               0;
   322    2.851            1000            1143             951               0;
   323    2.860            1000            1143             951               0;
   324    2.869            1000            1143             951               0;
   325    2.878            1000            1143             951               0;
   326    2.886            1000            1143             951               0;
   327    2.895            1000            1143             951               0;
   328    2.904            1000            1143             951               0;
   329    2.913            1000            1143             951               0;
   330    2.922            1000            1143             951               0;
   331    2.931            1000            1144             951               0;
   332    2.940            1000            1145             951               0;
   333    2.948            1000            1145             951               0;
   334    2.957            1000            1145             951               0;
   335    2.966            1000            1145             951               0;
   336    2.975            1000            1146             952               0;
   337    2.984            1000            1146             952               0;
   338    2.993            1000            1146             952               0;
   339    3.002               0            1146             952               0;
   340    3.010               0            1137             952               0;
   341    3.019               0            1121             952               0;
   342    3.028               0            1104             952               0;
   343    3.037               0            1086             952               0;
   344    3.046               0            1070             952               0;
   345    3.055               0            1054             951               0;
   346    3.064               0            1038             948               0;
   347    3.072               0            1024             946               0;
   348    3.081               0            1013             943               0;
   349    3.090               0            1002             940               0;
   350    3.099               0             994             936               0;
   351    3.108               0             987             934               0;
   352    3.117               0             981             931               0;
   353    3.126               0             975             928               0;
   354    3.134               0             971             926               0;
   355    3.143               0             968             925               0;
   356    3.152               0             966             924               0;
   357    3.161               0             964             924               0;
   358    3.170               0             962             924               0;
   359    3.179               0             960             924               0;
   360    3.188               0             958             924               0;
   361    3.196               0             955             924               0;
   362    3.205               0             951             924               0;
   363    3.214               0             947             924               0;
   364    3.223               0             942             924               0;
   365    3.232               0             935             924               0;
   366    3.241               0             927             924               0;
   367    3.249               0             918             924               0;
   368    3.258               0             907             922               0;
   369    3.267               0             896             920               0;
   370    3.276               0             883             918               0;
   371    3.285               0             870             916               0;
   372    3.294               0             856             912               0;
   373    3.303               0             840             909               0;
   374    3.311               0             824             904               0;
   375    3.320               0             806             899               0;
   376    3.329               0             787             892               0;
   377    3.338               0             767             884               0;
   378    3.347               0             747             874               0;
   379    3.356               0             728             862               0;
   380    3.365               0             710             847               0;
   381    3.373               0             693             830               0;
   382    3.382               0             678             809               0;
   383    3.391               0             664             785               0;
   384    3.400               0             652             759               0;
   385    3.409               0             641             733               0;
   386    3.418               0             631             707               0;
   387    3.427               0             623             680               0;
   388    3.435               0             614             654               0;
   389    3.444               0             606             629               0;
   390    3.453               0             598             607               0;
   391    3.462               0             588             588               0;
   392    3.471               0             579             572               0;
   393    3.480               0             568             559               0;
   394    3.489               0             557             550               0;
   395    3.497               0             546             544               0;
   396    3.506               0             533             541               0;
   397    3.515               0             520             540               0;
   398    3.524               0             507             540               0;
   399    3.533               0             493             542               0;
   400    3.542               0             478             543               0;
   401    3.551               0             464             544               0;
   402    3.559               0             450             544               0;
   403    3.568               0             438             544               0;
   404    3.577               0             427             541               0;
   405    3.586               0             418             539               0;
   406    3.595               0             412             535               0;
   407    3.604               0             408             531               0;
   408    3.613               0             406             527               0;
   409    3.621               0             406             521               0;
   410    3.630               0             406             515               0;
   411    3.639               0             408             507               0;
   412    3.648               0             408             501               0;
   413    3.657               0             409             494               0;
   414    3.666               0             409             488               0;
   415    3.674               0             408             483               0;
   416    3.683               0             407             479               0;
   417    3.692               0             405             476               0;
   418    3.701               0             403             474               0;
   419    3.710               0             400             473               0;
   420    3.719               0             397             472               0;
   421    3.728               0             394             472               0;
   422    3.736               0             389             472               0;
   423    3.745               0             383             472               0;
   424    3.754               0             376             472               0;
   425    3.763               0             368             472               0;
   426    3.772               0             359             472               0;
   427    3.781               0             348             472               0;
   428    3.790               0             337             472               0;
   429    3.798               0             325             470               0;
   430    3.807               0             313             467               0;
   431    3.816               0             301             464               0;
   432    3.825               0             288             460               0;
   433    3.834               0             276             454               0;
   434    3.843               0             264             447               0;
   435    3.852               0             253             439               0;
   436    3.860               0             242             430               0;
   437    3.869               0             232             419               0;
   438    3.878               0             223             406               0;
   439    3.887               0             215             392               0;
   440    3.896               0             208             377               0;
   441    3.905               0             201             361               0;
   442    3.914               0             195             345               0;
   443    3.922               0             190             329               0;
   444    3.931               0             186             314               0;
   445    3.940               0             182             298               0;
   446    3.949               0             179             283               0;
   447    3.958               0             176             267               0;
   448    3.967               0             172             253               0;
   449    3.976               0             168             240               0;
   450    3.984               0             164             230               0;
   451    3.993               0             159             223               0;
   452    4.002               0             153             219               0;
   453    4.011               0             147             218               0;
   454    4.020               0             140             218               0;
   455    4.029               0             133             221               0;
   456    4.038               0             126             224               0;
   457    4.046               0             120             226               0;
   458    4.055               0             117             227               0;
   459    4.064               0             115             228               0;
   460    4.073               0             114             228               0;
   461    4.082               0             114             228               0;
   462    4.091               0             116             227               0;
   463    4.099               0             117             227               0;
   464    4.108               0             119             227               0;
   465    4.117               0             121             227               0;
   466    4.126               0             122             227               0;
   467    4.135               0             123             227               0;
   468    4.144               0             123             227               0;
   469    4.153               0             123             227               0;
   470    4.161               0             123             227               0;
   471    4.170               0             123             227               0;
   472    4.179               0             123             227               0;
   473    4.188               0             123             227               0;
   474    4.197               0             123             227               0;
   475    4.206               0             123             227               0;
   476    4.215               0             123             227               0;
   477    4.223               0             123             227               0;
   478    4.232               0             123             227               0;
   479    4.241               0             123             227               0;
   480    4.250               0             123             227               0;
   481    4.259               0             123             227               0;
   482    4.268               0             123             227               0;
   483    4.277               0             123             227               0;
   484    4.285               0             123             227               0;
   485    4.294               0             123             227               0;
   486    4.303               0             123             227               0;
   487    4.312               0             123             227               0;
   488    4.321               0             123             227               0;
   489    4.330               0             123             227               0;
   490    4.339               0             123             227               0;
   491    4.347               0             123             227               0;
   492    4.356               0             123             227               0;
   493    4.365               0             122             227               0;
   494    4.374               0             120             227               0;
   495    4.383               0             119             227               0;
   496    4.392               0             118             227               0;
   497    4.401               0             118             227               0;
   498    4.409               0             117             227               0;
   499    4.418               0             117             227               0;
   500    4.427               0             117             227               0;
   501    4.436               0             116             227               0;
   502    4.445               0             116             227               0;
   503    4.454               0             116             227               0;
   504    4.463               0             116             227               0;
   505    4.471               0             116             227               0;
   506    4.480               0             115             227               0;
   507    4.489               0             114             227               0;
   508    4.498               0             113             227               0;
   509    4.507               0             111             227               0;
   510    4.516               0             110             227               0;
   511    4.524               0             107             227               0;
   512    4.533               0             105             227               0;
   513    4.542               0             102             227               0;
   514    4.551               0              99             227               0;
   515    4.560               0              97             227               0;
   516    4.569               0              94             227               0;
   517    4.578               0              90             226               0;
   518    4.586               0              86             226               0;
   519    4.595               0              81             226               0;
   520    4.604               0              75             225               0;
   521    4.613               0              70             224               0;
   522    4.622               0              63             223               0;
   523    4.631               0              58             223               0;
   524    4.640               0              51             221               0;
   525    4.648               0              46             220               0;
   526    4.657               0              41             219               0;
   527    4.666               0              36             217               0;
   528    4.675               0              33             216               0;
   529    4.684               0              30             214               0;
   530    4.693               0              28             213               0;
   531    4.702               0              27             211               0;
   532    4.710               0              26             210               0;
   533    4.719               0              26             208               0;
   534    4.728               0              26             207               0;
   535    4.737               0              26             207               0;
   536    4.746               0              26             206               0;
   537    4.755               0              26             205               0;
   538    4.764               0              26             204               0;
   539    4.772               0              26             203               0;
   540    4.781               0              26             202               0;
   541    4.790               0              26             202               0;
   542    4.799               0              26             201               0;
   543    4.808               0              26             200               0;
   544    4.817               0              24             200               0;
   545    4.826               0              23             199               0;
   546    4.834               0              22             199               0;
   547    4.843               0              20             198               0;
   548    4.852               0              18             198               0;
   549    4.861               0              16             197               0;
   550    4.870               0              14             196               0;
   551    4.879               0              11             194               0;
   552    4.888               0               8             193               0;
   553    4.896               0               5             191               0;
   554    4.905               0               1             188               0;
   555    4.914               0              -3             184               0;
   556    4.923               0              -8             180               0;
   557    4.932               0             -13             174               0;
   558    4.941               0             -19             167               0;
   559    4.949               0             -25             159               0;
   560    4.958               0             -30             149               0;
   561    4.967               0             -36             139               0;
   562    4.976               0             -41             126               0;
   563    4.985               0             -47             113               0;
   564    4.994               0             -53             100               0;
   565    5.003               0             -59              86               0;
   566    5.011               0             -66              72               0;
   567    5.020               0             -73              57               0;
   568    5.029               0             -79              43               0;
   569    5.038               0             -86              28               0;
   570    5.047               0             -94              13               0;
   571    5.056               0            -102              -1               0;
   572    5.065               0            -110             -14               0;
   573    5.073               0            -117             -25               0;
   574    5.082               0            -125             -34               0;
   575    5.091               0            -131             -42               0;
   576    5.100               0            -137             -49               0;
   577    5.109               0            -141             -54               0;
   578    5.118               0            -145             -59               0;
   579    5.127               0            -146             -62               0;
   580    5.135               0            -148             -64               0;
   581    5.144               0            -148             -65               0;
   582    5.153               0            -148             -65               0;
   583    5.162               0            -148             -65               0;
   584    5.171               0            -148             -65               0;
   585    5.180               0            -148             -65               0;
   586    5.189               0            -148             -65               0;
   587    5.197               0            -148             -65               0;
   588    5.206               0            -148             -65               0;
   589    5.215               0            -148             -65               0;
   590    5.224               0            -148             -65               0;
   591    5.233               0            -148             -65               0;
   592    5.242               0            -148             -65               0;
   593    5.251               0            -148             -65               0;
   594    5.259               0            -148             -65               0;
   595    5.268               0            -148             -65               0;
   596    5.277               0            -148             -65               0;
   597    5.286               0            -148             -65               0;
   598    5.295               0            -148             -65               0;
   599    5.304               0            -148             -65               0;
   600    5.313               0            -148             -65               0;
   601    5.321               0            -148             -65               0;
   602    5.330               0            -148             -65               0;
   603    5.339               0            -147             -65               0;
   604    5.348               0            -147             -65               0;
   605    5.357               0            -147             -65               0;
   606    5.366               0            -147             -65               0;
   607    5.374               0            -146             -65               0;
   608    5.383               0            -145             -65               0;
   609    5.392               0            -145             -65               0;
   610    5.401               0            -145             -65               0;
   611    5.410               0            -145             -65               0;
   612    5.419               0            -145             -65               0;
   613    5.428               0            -145             -65               0;
   614    5.436               0            -145             -65               0;
   615    5.445               0            -145             -65               0;
   616    5.454               0            -145             -65               0;
   617    5.463               0            -145             -65               0;
   618    5.472               0            -145             -65               0;
   619    5.481               0            -145             -65               0;
   620    5.490               0            -144             -65               0;
   621    5.498               0            -143             -65               0;
   622    5.507               0            -143             -65               0;
   623    5.516               0            -142             -65               0;
   624    5.525               0            -141             -65               0;
   625    5.534               0            -140             -65               0;
   626    5.543               0            -139             -65               0;
   627    5.552               0            -139             -65               0;
   628    5.560               0            -139             -65               0;
   629    5.569               0            -139             -65               0;
   630    5.578               0            -139             -65               0;
   631    5.587               0            -139             -65               0;
   632    5.596               0            -139             -65               0;
   633    5.605               0            -139             -65               0;
   634    5.614               0            -139             -65               0;
   635    5.622               0            -139             -65               0;
   636    5.631               0            -139             -65               0;
   637    5.640               0            -139             -65               0;
   638    5.649               0            -139             -65               0;
   639    5.658               0            -139             -65               0;
   640    5.667               0            -139             -65               0;
   641    5.676               0            -138             -65               0;
   642    5.684               0            -138             -65               0;
   643    5.693               0            -138             -65               0;
   644    5.702               0            -138             -65               0;
   645    5.711               0            -137             -65               0;
   646    5.720               0            -137             -65               0;
   647    5.729               0            -137             -65               0;
   648    5.738               0            -136             -65               0;
   649    5.746               0            -136             -65               0;
   650    5.755               0            -136             -65               0;
   651    5.764               0            -136             -65               0;
   652    5.773               0            -136             -65               0;
   653    5.782               0            -136             -65               0;
   654    5.791               0            -136             -65               0;
   655    5.799               0            -136             -65               0;
   656    5.808               0            -136             -65               0;
   657    5.817               0            -136             -65               0;
   658    5.826               0            -135             -65               0;
   659    5.835               0            -134             -65               0;
   660    5.844               0            -133             -65               0;
   661    5.853               0            -132             -65               0;
   662    5.861               0            -132             -65               0;
   663    5.870               0            -132             -65               0;
   664    5.879               0            -131             -65               0;
   665    5.888               0            -131             -65               0;
   666    5.897               0            -131             -65               0;
   667    5.906               0            -131             -65               0;
   668    5.915               0            -131             -65               0;
   669    5.923               0            -131             -65               0;
   670    5.932               0            -131             -65               0;
   671    5.941               0            -131             -65               0;
   672    5.950               0            -131             -65               0;
   673    5.959               0            -131             -65               0;
   674    5.968               0            -131             -65               0;
   675    5.977               0            -131             -65               0;
   676    5.985               0            -131             -65               0]
