 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000            1000               0               0               0;
     1    0.009            1000              13               0               0;
     2    0.018            1000              28               0               0;
     3    0.027            1000              44               0               0;
     4    0.035            1000              60               2               0;
     5    0.044            1000              75               4               0;
     6    0.053            1000              87               6               0;
     7    0.062            1000              99               9               0;
     8    0.071            1000             110              13               0;
     9    0.080            1000             120              17               0;
    10    0.089            1000             129              22               0;
    11    0.097            1000             137              26               0;
    12    0.106            1000             143              31               0;
    13    0.115            1000             148              34               0;
    14    0.124            1000             151              38               0;
    15    0.133            1000             153              41               0;
    16    0.142            1000             155              44               0;
    17    0.151            1000             156              47               0;
    18    0.159            1000             158              50               0;
    19    0.168            1000             160              53               0;
    20    0.177            1000             163              55               0;
    21    0.186            1000             167              58               0;
    22    0.195            1000             173              60               0;
    23    0.204            1000             181              64               0;
    24    0.213            1000             190              68               0;
    25    0.221            1000             202              73               0;
    26    0.230            1000             217              79               0;
    27    0.239            1000             233              86               0;
    28    0.248            1000             252              95               0;
    29    0.257            1000             272             107               0;
    30    0.266            1000             294             120               0;
    31    0.274            1000             317             137               0;
    32    0.283            1000             341             155               0;
    33    0.292            1000             365             176               0;
    34    0.301            1000             389             201               0;
    35    0.310            1000             413             228               0;
    36    0.319            1000             437             260               0;
    37    0.328            1000             460             293               0;
    38    0.336            1000             482             327               0;
    39    0.345            1000             502             363               0;
    40    0.354            1000             520             400               0;
    41    0.363            1000             537             437               0;
    42    0.372            1000             551             475               0;
    43    0.381            1000             565             512               0;
    44    0.390            1000             578             546               0;
    45    0.398            1000             589             579               0;
    46    0.407            1000             600             609               0;
    47    0.416            1000             610             636               0;
    48    0.425            1000             620             659               0;
    49    0.434            1000             629             677               0;
    50    0.443            1000             639             690               0;
    51    0.452            1000             649             697               0;
    52    0.460            1000             659             699               0;
    53    0.469            1000             668             699               0;
    54    0.478            1000             677             693               0;
    55    0.487            1000             685             686               0;
    56    0.496            1000             693             678               0;
    57    0.505            1000             700             671               0;
    58    0.514            1000             705             664               0;
    59    0.522            1000             709             660               0;
    60    0.531            1000             711             657               0;
    61    0.540            1000             712             657               0;
    62    0.549            1000             712             657               0;
    63    0.558            1000             712             660               0;
    64    0.567            1000             711             662               0;
    65    0.576            1000             711             664               0;
    66    0.584            1000             711             666               0;
    67    0.593            1000             711             666               0;
    68    0.602            1000             711             666               0;
    69    0.611            1000             711             666               0;
    70    0.620            1000             711             666               0;
    71    0.629            1000             711             666               0;
