 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos 

[    0    0.000            1000               1               0;
     1    0.009            1000              14               0;
     2    0.018            1000              31               0;
     3    0.027            1000              51               0;
     4    0.035            1000              73               1;
     5    0.044            1000              95               4;
     6    0.053            1000             114               6;
     7    0.062            1000             134              10;
     8    0.071            1000             153              15;
     9    0.080            1000             170              21;
    10    0.089            1000             186              29;
    11    0.097            1000             201              38;
    12    0.106            1000             215              50;
    13    0.115            1000             226              63;
    14    0.124            1000             237              79;
    15    0.133            1000             245              96;
    16    0.142            1000             252             114;
    17    0.151            1000             258             134;
    18    0.159            1000             264             156;
    19    0.168            1000             270             179;
    20    0.177            1000             276             202;
    21    0.186            1000             282             226;
    22    0.195            1000             290             249;
    23    0.204            1000             299             273;
    24    0.213            1000             309             295;
    25    0.221            1000             320             316;
    26    0.230            1000             333             334;
    27    0.239            1000             348             351;
    28    0.248            1000             364             366;
    29    0.257            1000             382             379;
    30    0.266            1000             401             390;
    31    0.274            1000             421             399;
    32    0.283            1000             441             407;
    33    0.292            1000             461             415;
    34    0.301            1000             481             421;
    35    0.310            1000             501             427;
    36    0.319            1000             520             432;
    37    0.328            1000             537             438;
    38    0.336            1000             552             444;
    39    0.345            1000             567             450;
    40    0.354            1000             580             458;
    41    0.363            1000             591             466;
    42    0.372            1000             601             476;
    43    0.381            1000             607             485;
    44    0.390            1000             612             495;
    45    0.398            1000             614             506;
    46    0.407            1000             615             516;
    47    0.416            1000             615             527;
    48    0.425            1000             615             536;
    49    0.434            1000             615             545;
    50    0.443            1000             615             551;
    51    0.452            1000             615             557;
    52    0.460            1000             615             560;
    53    0.469            1000             615             562;
    54    0.478            1000             616             563;
    55    0.487            1000             618             563;
    56    0.496            1000             620             562;
    57    0.505            1000             622             560;
    58    0.514            1000             625             559;
    59    0.522            1000             629             558;
    60    0.531            1000             633             557;
    61    0.540            1000             637             556;
    62    0.549            1000             641             556;
    63    0.558            1000             646             556;
    64    0.567            1000             652             556;
    65    0.576            1000             658             556;
    66    0.584            1000             664             558;
    67    0.593            1000             670             558;
    68    0.602            1000             677             559;
    69    0.611            1000             684             560;
    70    0.620            1000             691             560;
    71    0.629            1000             698             561;
    72    0.638            1000             706             562;
    73    0.646            1000             714             563;
    74    0.655            1000             721             564;
    75    0.664            1000             729             566;
    76    0.673            1000             735             567;
    77    0.682            1000             741             569;
    78    0.691            1000             746             572;
    79    0.699            1000             751             575;
    80    0.708            1000             755             578;
    81    0.717            1000             758             582;
    82    0.726            1000             760             587;
    83    0.735            1000             762             593;
    84    0.744            1000             763             600;
    85    0.753            1000             764             607;
    86    0.761            1000             765             616;
    87    0.770            1000             765             625;
    88    0.779            1000             766             636;
    89    0.788            1000             767             647;
    90    0.797            1000             769             658;
    91    0.806            1000             771             669;
    92    0.815            1000             773             679;
    93    0.823            1000             776             689;
    94    0.832            1000             780             699;
    95    0.841            1000             785             707;
    96    0.850            1000             790             714;
    97    0.859            1000             797             719;
    98    0.868            1000             805             723;
    99    0.877            1000             814             726;
   100    0.885            1000             824             728;
   101    0.894            1000             836             729;
   102    0.903            1000             847             729;
   103    0.912            1000             859             730;
   104    0.921            1000             871             730;
   105    0.930            1000             882             730;
   106    0.939            1000             893             730;
   107    0.947            1000             903             730;
   108    0.956            1000             912             732;
   109    0.965            1000             921             734;
   110    0.974            1000             928             737;
   111    0.983            1000             935             741;
   112    0.992            1000             941             746;
   113    1.001            1000             945             753;
   114    1.009            1000             949             761;
   115    1.018            1000             952             770;
   116    1.027            1000             954             781;
   117    1.036            1000             955             793;
   118    1.045            1000             956             804;
   119    1.054            1000             957             816;
   120    1.063            1000             957             828;
   121    1.071            1000             957             838;
   122    1.080            1000             957             848;
   123    1.089            1000             957             857;
   124    1.098            1000             958             865;
   125    1.107            1000             960             872;
   126    1.116            1000             961             878;
   127    1.124            1000             964             884;
   128    1.133            1000             966             888;
   129    1.142            1000             969             892;
   130    1.151            1000             972             894;
   131    1.160            1000             975             895;
   132    1.169            1000             978             896;
   133    1.178            1000             982             896;
   134    1.186            1000             985             896;
   135    1.195            1000             988             896;
   136    1.204            1000             990             896;
   137    1.213            1000             992             896;
   138    1.222            1000             993             896;
   139    1.231            1000             993             896;
   140    1.240            1000             994             896;
   141    1.248            1000             994             896;
   142    1.257            1000             994             896;
   143    1.266            1000             994             896;
   144    1.275            1000             994             896;
   145    1.284            1000             994             896;
   146    1.293            1000             994             896;
   147    1.302            1000             994             896;
   148    1.310            1000             994             896;
   149    1.319            1000             994             896;
