 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos 

[    0    0.000            1000               0               0;
     1    0.009            1000               5               0;
     2    0.018            1000              21               0;
     3    0.027            1000              36               0;
     4    0.035            1000              50               1;
     5    0.044            1000              62               2;
     6    0.053            1000              73               4;
     7    0.062            1000              83               6;
     8    0.071            1000              94               8;
     9    0.080            1000             103              11;
    10    0.089            1000             112              14;
    11    0.097            1000             119              18;
    12    0.106            1000             127              22;
    13    0.115            1000             135              28;
    14    0.124            1000             142              33;
    15    0.133            1000             150              42;
    16    0.142            1000             159              49;
    17    0.151            1000             168              59;
    18    0.159            1000             178              70;
    19    0.168            1000             188              81;
    20    0.177            1000             200              94;
    21    0.186            1000             211             108;
    22    0.195            1000             223             123;
    23    0.204            1000             237             140;
    24    0.213            1000             251             158;
    25    0.221            1000             267             177;
    26    0.230            1000             283             196;
    27    0.239            1000             302             217;
    28    0.248            1000             321             238;
    29    0.257            1000             342             260;
    30    0.266            1000             363             283;
    31    0.274            1000             384             306;
    32    0.283            1000             405             330;
    33    0.292            1000             427             353;
    34    0.301            1000             447             377;
    35    0.310            1000             466             401;
    36    0.319            1000             485             424;
    37    0.328            1000             502             447;
    38    0.336            1000             519             470;
    39    0.345            1000             535             492;
    40    0.354            1000             550             514;
    41    0.363            1000             563             535;
    42    0.372            1000             576             554;
    43    0.381            1000             587             572;
    44    0.390            1000             596             587;
    45    0.398            1000             604             600;
    46    0.407            1000             611             612;
    47    0.416            1000             615             623;
    48    0.425            1000             619             632;
    49    0.434            1000             620             640;
    50    0.443            1000             622             646;
    51    0.452            1000             622             650;
    52    0.460            1000             622             652;
    53    0.469            1000             622             652;
    54    0.478            1000             622             652;
    55    0.487            1000             622             650;
    56    0.496            1000             622             647;
    57    0.505            1000             622             645;
    58    0.514            1000             622             643;
    59    0.522            1000             623             641;
    60    0.531            1000             624             640;
    61    0.540            1000             626             640;
    62    0.549            1000             627             640;
    63    0.558            1000             629             640;
    64    0.567            1000             631             640;
    65    0.576            1000             634             640;
    66    0.584            1000             637             640;
    67    0.593            1000             641             640;
    68    0.602            1000             646             640;
    69    0.611            1000             651             640;
    70    0.620            1000             657             640;
    71    0.629            1000             663             640;
    72    0.638            1000             671             642;
    73    0.646            1000             678             642;
    74    0.655            1000             686             643;
    75    0.664            1000             693             644;
    76    0.673            1000             700             645;
    77    0.682            1000             707             646;
    78    0.691            1000             714             647;
    79    0.699            1000             719             649;
    80    0.708            1000             725             651;
    81    0.717            1000             729             652;
    82    0.726            1000             732             654;
    83    0.735            1000             733             655;
    84    0.744            1000             734             657;
    85    0.753            1000             734             658;
    86    0.761            1000             734             659;
    87    0.770            1000             734             659;
    88    0.779            1000             734             660;
    89    0.788            1000             734             660;
    90    0.797            1000             734             660;
    91    0.806            1000             734             661;
    92    0.815            1000             734             661;
    93    0.823            1000             734             661;
    94    0.832            1000             734             661;
    95    0.841            1000             735             661;
    96    0.850            1000             736             661;
    97    0.859            1000             738             661;
    98    0.868            1000             740             661;
    99    0.877            1000             742             661;
   100    0.885            1000             744             661;
   101    0.894            1000             747             661;
   102    0.903            1000             750             661;
   103    0.912            1000             753             661;
   104    0.921            1000             757             661;
   105    0.930            1000             762             661;
   106    0.939            1000             767             662;
   107    0.947            1000             774             663;
   108    0.956            1000             781             665;
   109    0.965            1000             789             666;
   110    0.974            1000             798             668;
   111    0.983            1000             807             671;
   112    0.992            1000             817             674;
   113    1.001            1000             826             678;
   114    1.009            1000             835             683;
   115    1.018            1000             844             689;
   116    1.027            1000             854             696;
   117    1.036            1000             862             704;
   118    1.045            1000             871             712;
   119    1.054            1000             879             721;
   120    1.063            1000             887             731;
   121    1.071            1000             895             742;
   122    1.080            1000             903             754;
   123    1.089            1000             911             767;
   124    1.098            1000             919             781;
   125    1.107            1000             927             795;
   126    1.116            1000             934             809;
   127    1.124            1000             940             824;
   128    1.133            1000             945             838;
   129    1.142            1000             950             851;
   130    1.151            1000             954             864;
   131    1.160            1000             956             877;
   132    1.169            1000             958             889;
   133    1.178            1000             959             900;
   134    1.186            1000             960             911;
   135    1.195            1000             960             919;
   136    1.204            1000             960             926;
   137    1.213            1000             960             929;
   138    1.222            1000             960             931;
   139    1.231            1000             960             931;
   140    1.240            1000             961             929;
   141    1.248            1000             961             925;
   142    1.257            1000             961             922;
   143    1.266            1000             961             918;
   144    1.275            1000             961             915;
   145    1.284            1000             961             913;
   146    1.293            1000             961             912;
   147    1.302            1000             961             912;
   148    1.310            1000             962             912;
   149    1.319            1000             962             914;
   150    1.328            1000             962             914;
   151    1.337            1000             962             915;
   152    1.346            1000             962             916;
   153    1.355            1000             963             916;
   154    1.364            1000             963             916;
   155    1.372            1000             963             916;
   156    1.381            1000             963             916;
   157    1.390            1000             964             916;
   158    1.399            1000             964             916;
   159    1.408            1000             964             916;
   160    1.417            1000             964             916;
   161    1.426            1000             965             916;
   162    1.434            1000             966             916;
   163    1.443            1000             967             916;
   164    1.452            1000             968             916;
   165    1.461            1000             969             916;
   166    1.470            1000             971             916;
   167    1.479            1000             972             916;
   168    1.488            1000             973             916;
   169    1.496            1000             974             916;
   170    1.505            1000             975             916;
   171    1.514            1000             975             916;
   172    1.523            1000             975             916;
   173    1.532            1000             975             916;
   174    1.541            1000             975             916;
   175    1.549            1000             975             916;
   176    1.558            1000             975             916;
   177    1.567            1000             975             916;
   178    1.576            1000             975             916;
   179    1.585            1000             975             916;
   180    1.594            1000             975             916;
   181    1.603            1000             976             916;
   182    1.611            1000             977             916;
   183    1.620            1000             977             916;
   184    1.629            1000             978             916;
   185    1.638            1000             978             916;
   186    1.647            1000             979             916;
   187    1.656            1000             979             916;
   188    1.665            1000             979             916;
   189    1.673            1000             979             916;
   190    1.682            1000             979             916;
   191    1.691            1000             979             916;
   192    1.700            1000             979             916;
   193    1.709            1000             979             916;
   194    1.718            1000             979             916;
   195    1.727            1000             980             916;
   196    1.735            1000             981             916;
   197    1.744            1000             982             916;
   198    1.753            1000             983             916;
   199    1.762            1000             984             916;
   200    1.771            1000             985             916;
   201    1.780            1000             986             916;
   202    1.789            1000             987             916;
   203    1.797            1000             987             916;
   204    1.806            1000             988             916;
   205    1.815            1000             988             916;
   206    1.824            1000             988             916;
   207    1.833            1000             989             916;
   208    1.842            1000             989             916;
   209    1.851            1000             989             916;
   210    1.859            1000             990             916;
