 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0               0               0          0.5000;
     1    0.009               0              10               0          0.5000;
     2    0.018               0              44               0          0.5000;
     3    0.027               0              98               0          0.5000;
     4    0.035               0             172               0          0.5000;
     5    0.044               0             264               0          0.5000;
     6    0.053               0             369               0          0.5000;
     7    0.062               0             488               0          0.5000;
     8    0.071               0             617               0          0.5000;
     9    0.080               0             755               0          0.5000;
    10    0.089               0             897               0          0.5000;
    11    0.097               0            1041               0          0.5000;
    12    0.106               0            1182               0          0.5000;
    13    0.115               0            1322               0          0.5000;
    14    0.124               0            1454               0          0.5000;
    15    0.133               0            1579               0          0.5000;
    16    0.142               0            1690               0          0.5000;
    17    0.151               0            1787               0          0.5000;
    18    0.159               0            1870               0          0.5000;
    19    0.168               0            1934               0          0.5000;
    20    0.177               0            1979               0          0.5000;
    21    0.186               0            2004               0          0.5000;
    22    0.195               0            2009               0          0.5000;
    23    0.204               0            1995               0          0.5000;
    24    0.213               0            1963               0          0.5000;
    25    0.221               0            1915               0          0.5000;
    26    0.230               0            1853               0          0.5000;
    27    0.239               0            1779               0          0.5000;
    28    0.248               0            1696               0          0.5000;
    29    0.257               0            1605               0          0.5000;
    30    0.266               0            1508               0          0.5000;
    31    0.274               0            1408               0          0.5000;
    32    0.283               0            1307               0          0.5000;
    33    0.292               0            1208               0          0.5000;
    34    0.301               0            1112               0          0.5000;
    35    0.310               0            1023               0          0.5000;
    36    0.319               0             939               0          0.5000;
    37    0.328               0             865               0          0.5000;
    38    0.336               0             802               0          0.5000;
    39    0.345               0             749               0          0.5000;
    40    0.354               0             710               0          0.5000;
    41    0.363               0             683               0          0.5000;
    42    0.372               0             672               0          0.5000;
    43    0.381               0             672               0          0.5000;
    44    0.390               0             686               0          0.5000;
    45    0.398               0             712               0          0.5000;
    46    0.407               0             748               0          0.5000;
    47    0.416               0             791               0          0.5000;
    48    0.425               0             841               0          0.5000;
    49    0.434               0             898               0          0.5000;
    50    0.443               0             959               0          0.5000;
    51    0.452               0            1023               0          0.5000;
    52    0.460               0            1089               0          0.5000;
    53    0.469               0            1154               0          0.5000;
    54    0.478               0            1218               0          0.5000;
    55    0.487               0            1279               0          0.5000;
    56    0.496               0            1336               0          0.5000;
    57    0.505               0            1387               0          0.5000;
    58    0.514               0            1433               0          0.5000;
    59    0.522               0            1470               0          0.5000;
    60    0.531               0            1500               0          0.5000;
    61    0.540               0            1521               0          0.5000;
    62    0.549               0            1533               0          0.5000;
    63    0.558               0            1535               0          0.5000;
    64    0.567               0            1528               0          0.5000;
    65    0.576               0            1514               0          0.5000;
    66    0.584               0            1493               0          0.5000;
    67    0.593               0            1468               0          0.5000;
    68    0.602               0            1439               0          0.5000;
    69    0.611               0            1407               0          0.5000;
    70    0.620               0            1374               0          0.5000;
    71    0.629               0            1339               0          0.5000;
    72    0.638               0            1305               0          0.5000;
    73    0.646               0            1271               0          0.5000;
    74    0.655               0            1239               0          0.5000;
    75    0.664               0            1208               0          0.5000;
    76    0.673               0            1179               0          0.5000;
    77    0.682               0            1155               0          0.5000;
    78    0.691               0            1134               0          0.5000;
    79    0.699               0            1117               0          0.5000;
    80    0.708               0            1105               0          0.5000;
    81    0.717               0            1097               0          0.5000;
    82    0.726               0            1093               0          0.5000;
    83    0.735               0            1093               0          0.5000;
    84    0.744               0            1096               0          0.5000;
    85    0.753               0            1102               0          0.5000;
    86    0.761               0            1109               0          0.5000;
    87    0.770               0            1118               0          0.5000;
    88    0.779               0            1127               0          0.5000;
    89    0.788               0            1137               0          0.5000;
    90    0.797               0            1146               0          0.5000;
    91    0.806               0            1157               0          0.5000;
    92    0.815               0            1166               0          0.5000;
    93    0.823               0            1176               0          0.5000;
    94    0.832               0            1186               0          0.5000;
    95    0.841               0            1194               0          0.5000;
    96    0.850               0            1202               0          0.5000;
    97    0.859               0            1208               0          0.5000;
    98    0.868               0            1211               0          0.5000;
    99    0.877               0            1213               0          0.5000;
   100    0.885               0            1213               0          0.5000;
   101    0.894               0            1212               0          0.5000;
   102    0.903               0            1209               0          0.5000;
   103    0.912               0            1207               0          0.5000;
   104    0.921               0            1204               0          0.5000;
   105    0.930               0            1203               0          0.5000;
   106    0.939               0            1202               0          0.5000;
   107    0.947               0            1202               0          0.5000;
   108    0.956               0            1202               0          0.5000;
   109    0.965               0            1202               0          0.5000;
   110    0.974               0            1202               0          0.5000;
   111    0.983               0            1202               0          0.5000;
   112    0.992               0            1202               0          0.5000;
   113    1.001               0            1202               0          0.5000;
   114    1.009               0            1202               0          0.5000;
   115    1.018               0            1202               0          0.5000;
   116    1.027               0            1202               0          0.5000;
   117    1.036               0            1202               0          0.5000;
   118    1.045               0            1202               0          0.5000;
   119    1.054               0            1202               0          0.5000;
   120    1.063               0            1202               0          0.5000;
   121    1.071               0            1202               0          0.5000;
   122    1.080               0            1202               0          0.5000;
   123    1.089               0            1202               0          0.5000;
   124    1.098               0            1202               0          0.5000;
   125    1.107               0            1202               0          0.5000;
   126    1.116               0            1202               0          0.5000;
   127    1.124               0            1202               0          0.5000;
   128    1.133               0            1202               0          0.5000;
   129    1.142               0            1202               0          0.5000;
   130    1.151               0            1202               0          0.5000;
   131    1.160               0            1202               0          0.5000;
   132    1.169               0            1202               0          0.5000;
   133    1.178               0            1202               0          0.5000;
   134    1.186               0            1202               0          0.5000;
   135    1.195               0            1202               0          0.5000;
   136    1.204               0            1202               0          0.5000;
   137    1.213               0            1202               0          0.5000;
   138    1.222               0            1202               0          0.5000;
   139    1.231               0            1202               0          0.5000;
   140    1.240               0            1202               0          0.5000;
   141    1.248               0            1202               0          0.5000;
   142    1.257               0            1202               0          0.5000;
   143    1.266               0            1202               0          0.5000;
   144    1.275               0            1202               0          0.5000;
   145    1.284               0            1202               0          0.5000;
   146    1.293               0            1202               0          0.5000;
   147    1.302               0            1202               0          0.5000;
   148    1.310               0            1202               0          0.5000;
   149    1.319               0            1202               0          0.5000;
   150    1.328               0            1202               0          0.5000;
   151    1.337               0            1202               0          0.5000;
   152    1.346               0            1202               0          0.5000;
   153    1.355               0            1202               0          0.5000;
   154    1.364               0            1202               0          0.5000;
   155    1.372               0            1202               0          0.5000;
   156    1.381               0            1202               0          0.5000;
   157    1.390               0            1202               0          0.5000;
   158    1.399               0            1202               0          0.5000;
   159    1.408               0            1202               0          0.5000;
   160    1.417               0            1202               0          0.5000;
   161    1.426               0            1202               0          0.5000;
   162    1.434               0            1202               0          0.5000;
   163    1.443               0            1202               0          0.5000;
   164    1.452               0            1202               0          0.5000;
   165    1.461               0            1202               0          0.5000;
   166    1.470               0            1202               0          0.5000;
   167    1.479               0            1202               0          0.5000;
   168    1.488               0            1202               0          0.5000;
   169    1.496               0            1202               0          0.5000;
   170    1.505               0            1202               0          0.5000;
   171    1.514               0            1202               0          0.5000;
   172    1.523               0            1202               0          0.5000;
   173    1.532               0            1202               0          0.5000;
   174    1.541               0            1202               0          0.5000;
   175    1.549               0            1202               0          0.5000;
   176    1.558               0            1202               0          0.5000;
   177    1.567               0            1202               0          0.5000;
   178    1.576               0            1202               0          0.5000;
   179    1.585               0            1202               0          0.5000;
   180    1.594               0            1202               0          0.5000;
