 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0              75             175          0.0000;
     1    0.009               0              75             181          0.0000;
     2    0.018               0              75             187          0.0000;
     3    0.027               0              75             196          0.0000;
     4    0.035               0              75             205          0.0000;
     5    0.044               0              75             216          0.0000;
     6    0.053               0              75             229          0.0000;
     7    0.062               0              76             243          0.0000;
     8    0.071               0              76             257          0.0000;
     9    0.080               0              76             272          0.0000;
    10    0.089               0              77             287          0.0000;
    11    0.097               0              77             302          0.0000;
    12    0.106               0              78             316          0.0000;
    13    0.115               0              78             330          0.0000;
    14    0.124               0              78             344          0.0000;
    15    0.133               0              79             358          0.0000;
    16    0.142               0              79             370          0.0000;
    17    0.151               0              79             382          0.0000;
    18    0.159               0              79             391          0.0000;
    19    0.168               0              79             398          0.0000;
    20    0.177               0              79             402          0.0000;
    21    0.186               0              79             406          0.0000;
    22    0.195               0              79             410          0.0000;
    23    0.204               0              79             416          0.0000;
    24    0.213               0              79             426          0.0000;
    25    0.221               0              79             441          0.0000;
    26    0.230               0              79             461          0.0000;
    27    0.239               0              79             487          0.0000;
    28    0.248               0              79             516          0.0000;
    29    0.257               0              79             546          0.0000;
    30    0.266               0              80             578          0.0000;
    31    0.274               0              81             611          0.0000;
    32    0.283               0              81             643          0.0000;
    33    0.292               0              82             674          0.0000;
    34    0.301               0              83             703          0.0000;
    35    0.310               0              83             729          0.0000;
    36    0.319               0              83             753          0.0000;
    37    0.328               0              84             773          0.0000;
    38    0.336               0              84             793          0.0000;
    39    0.345               0              84             813          0.0000;
    40    0.354               0              85             836          0.0000;
    41    0.363               0              86             862          0.0000;
    42    0.372               0              87             891          0.0000;
    43    0.381               0              87             922          0.0000;
    44    0.390               0              87             954          0.0000;
    45    0.398               0              89             986          0.0000;
    46    0.407               0              90            1018          0.0000;
    47    0.416               0              91            1050          0.0000;
    48    0.425               0              91            1081          0.0000;
    49    0.434               0              92            1112          0.0000;
    50    0.443               0              93            1141          0.0000;
    51    0.452               0              94            1167          0.0000;
    52    0.460               0              96            1192          0.0000;
    53    0.469               0              98            1216          0.0000;
    54    0.478               0              99            1240          0.0000;
    55    0.487               0              99            1265          0.0000;
    56    0.496               0             100            1294          0.0000;
    57    0.505               0             102            1326          0.0000;
    58    0.514               0             103            1359          0.0000;
    59    0.522               0             103            1397          0.0000;
    60    0.531               0             105            1429          0.0000;
