 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0              42             297          0.0000;
     1    0.009               0              42             312          0.0000;
     2    0.018               0              42             328          0.0000;
     3    0.027               0              42             348          0.0000;
     4    0.035               0              42             369          0.0000;
     5    0.044               0              41             391          0.0000;
     6    0.053               0              41             415          0.0000;
     7    0.062               0              41             438          0.0000;
     8    0.071               0              41             462          0.0000;
     9    0.080               0              41             487          0.0000;
    10    0.089               0              41             513          0.0000;
    11    0.097               0              41             541          0.0000;
    12    0.106               0              41             568          0.0000;
    13    0.115               0              41             597          0.0000;
    14    0.124               0              41             625          0.0000;
    15    0.133               0              41             655          0.0000;
    16    0.142               0              41             685          0.0000;
    17    0.151               0              41             716          0.0000;
    18    0.159               0              41             749          0.0000;
    19    0.168               0              41             783          0.0000;
    20    0.177               0              41             820          0.0000;
    21    0.186               0              41             859          0.0000;
    22    0.195               0              41             901          0.0000;
    23    0.204               0              41             944          0.0000;
    24    0.213               0              41             988          0.0000;
    25    0.221               0              41            1035          0.0000;
    26    0.230               0              43            1086          0.0000;
    27    0.239               0              43            1135          0.0000;
    28    0.248               0              43            1186          0.0000;
    29    0.257               0              43            1238          0.0000;
    30    0.266               0              43            1290          0.0000;
    31    0.274               0              43            1341          0.0000;
    32    0.283               0              43            1393          0.0000;
    33    0.292               0              43            1446          0.0000;
    34    0.301               0              44            1499          0.0000;
    35    0.310               0              44            1555          0.0000;
    36    0.319               0              44            1611          0.0000;
    37    0.328               0              44            1668          0.0000;
    38    0.336               0              45            1727          0.0000;
    39    0.345               0              45            1787          0.0000;
    40    0.354               0              46            1850          0.0000;
    41    0.363               0              46            1915          0.0000;
    42    0.372               0              46            1982          0.0000;
    43    0.381               0              47            2052          0.0000;
    44    0.390               0              47            2129          0.0000;
    45    0.398               0              47            2205          0.0000;
    46    0.407               0              47            2282          0.0000;
    47    0.416               0              47            2362          0.0000;
    48    0.425               0              47            2444          0.0000;
    49    0.434               0              47            2527          0.0000;
    50    0.443               0              47            2608          0.0000;
    51    0.452               0              47            2687          0.0000;
    52    0.460               0              47            2766          0.0000;
    53    0.469               0              47            2839          0.0000;
    54    0.478               0              47            2908          0.0000;
    55    0.487               0              47            2974          0.0000;
    56    0.496               0              47            3037          0.0000;
    57    0.505               0              47            3099          0.0000;
    58    0.514               0              44            3158          0.0000;
    59    0.522               0              43            3215          0.0000;
    60    0.531               0              43            3270          0.0000;
    61    0.540               0              42            3323          0.0000;
    62    0.549               0              42            3374          0.0000;
    63    0.558               0              42            3422          0.0000;
    64    0.567               0              42            3467          0.0000;
    65    0.576               0              42            3511          0.0000;
    66    0.584               0              42            3553          0.0000;
    67    0.593               0              42            3596          0.0000;
    68    0.602               0              42            3644          0.0000;
    69    0.611               0              42            3688          0.0000;
    70    0.620               0              42            3735          0.0000;
    71    0.629               0              42            3784          0.0000;
    72    0.638               0              42            3836          0.0000;
    73    0.646               0              42            3890          0.0000;
    74    0.655               0              42            3945          0.0000;
    75    0.664               0              44            4001          0.0000;
    76    0.673               0              45            4058          0.0000;
    77    0.682               0              46            4109          0.0000;
    78    0.691               0              46            4157          0.0000;
    79    0.699               0              47            4202          0.0000;
    80    0.708               0              48            4245          0.0000;
    81    0.717               0              48            4288          0.0000;
    82    0.726               0              49            4332          0.0000;
    83    0.735               0              50            4380          0.0000;
    84    0.744               0              51            4424          0.0000;
    85    0.753               0              53            4468          0.0000;
    86    0.761               0              54            4511          0.0000;
    87    0.770               0              55            4551          0.0000;
    88    0.779               0              57            4587          0.0000;
    89    0.788               0              58            4620          0.0000;
    90    0.797               0              59            4653          0.0000;
    91    0.806               0              60            4684          0.0000;
    92    0.815               0              61            4714          0.0000;
    93    0.823               0              62            4744          0.0000;
    94    0.832               0              63            4770          0.0000;
    95    0.841               0              64            4794          0.0000;
    96    0.850               0              65            4817          0.0000;
    97    0.859               0              66            4839          0.0000;
    98    0.868               0              67            4862          0.0000;
    99    0.877               0              69            4886          0.0000;
   100    0.885               0              70            4910          0.0000;
   101    0.894               0              70            4936          0.0000;
   102    0.903               0              71            4965          0.0000;
   103    0.912               0              71            4996          0.0000;
   104    0.921               0              74            5029          0.0000;
   105    0.930               0              75            5064          0.0000;
   106    0.939               0              77            5100          0.0000;
   107    0.947               0              77            5139          0.0000;
   108    0.956               0              78            5175          0.0000;
   109    0.965               0              79            5209          0.0000;
   110    0.974               0              81            5240          0.0000;
   111    0.983               0              82            5264          0.0000;
   112    0.992               0              83            5279          0.0000;
   113    1.001               0              85            5282          0.0000;
   114    1.009               0              85            5265          0.0000;
   115    1.018               0              86            5223          0.0000;
   116    1.027               0              86            5151          0.0000;
   117    1.036               0              86            5039          0.0000;
   118    1.045               0              86            4882          0.0000;
   119    1.054               0              86            4672          0.0000;
   120    1.063               0              83            4396          0.0000;
   121    1.071               0              80            4044          0.0000;
   122    1.080               0              75            3618          0.0000;
   123    1.089               0              68            3131          0.0000;
   124    1.098               0              60            2591          0.0000;
   125    1.107               0              49            2007          0.0000;
   126    1.116               0              36            1388          0.0000;
   127    1.124               0              21             753          0.0000;
   128    1.133               0               7             108          0.0000;
   129    1.142               0              -9            -533          0.0000;
   130    1.151               0             -26           -1155          0.0000;
   131    1.160               0             -43           -1752          0.0000;
   132    1.169               0             -60           -2313          0.0000;
   133    1.178               0             -75           -2822          0.0000;
   134    1.186              -0             -89           -3277          0.0000;
   135    1.195              -0            -103           -3667          0.0000;
   136    1.204              -0            -116           -3983          0.0000;
   137    1.213              -0            -129           -4219          0.0000;
   138    1.222              -0            -140           -4373          0.0000;
   139    1.231              -0            -148           -4444          0.0000;
   140    1.240              -0            -153           -4432          0.0000;
   141    1.248              -0            -155           -4339          0.0000;
   142    1.257              -0            -156           -4166          0.0000;
   143    1.266              -0            -156           -3920          0.0000;
   144    1.275              -0            -154           -3604          0.0000;
   145    1.284              -0            -152           -3222          0.0000;
   146    1.293              -0            -148           -2787          0.0000;
   147    1.302              -0            -141           -2307          0.0000;
   148    1.310              -0            -132           -1787          0.0000;
   149    1.319              -0            -120           -1239          0.0000;
   150    1.328              -0            -107            -677          0.0000;
   151    1.337              -0             -94            -110          0.0000;
