 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0              56              28          0.0000;
     1    0.009               0              56              28          0.0000;
     2    0.018               0              56              28          0.0000;
     3    0.027               0              56              28          0.0000;
     4    0.035               0              56              28          0.0000;
     5    0.044               0              56              28          0.0000;
     6    0.053               0              56              28          0.0000;
     7    0.062               0              56              28          0.0000;
     8    0.071               0              56              28          0.0000;
     9    0.080               0              56              28          0.0000;
    10    0.089               0              56              28          0.0000;
    11    0.097               0              56              28          0.0000;
    12    0.106               0              56              28          0.0000;
    13    0.115               0              56              28          0.0000;
    14    0.124               0              56              28          0.0000;
    15    0.133               0              56              28          0.0000;
    16    0.142               0              56              29          0.0000;
    17    0.151               0              56              29          0.0000;
    18    0.159               0              56              31          0.0000;
    19    0.168               0              56              33          0.0000;
    20    0.177               0              56              37          0.0000;
    21    0.186               0              56              43          0.0000;
    22    0.195               0              56              52          0.0000;
    23    0.204               0              56              63          0.0000;
    24    0.213               0              56              77          0.0000;
    25    0.221               0              56              94          0.0000;
    26    0.230               0              56             113          0.0000;
    27    0.239               0              56             133          0.0000;
    28    0.248               0              56             155          0.0000;
    29    0.257               0              56             178          0.0000;
    30    0.266               0              56             204          0.0000;
    31    0.274               0              56             233          0.0000;
    32    0.283               0              57             262          0.0000;
    33    0.292               0              58             292          0.0000;
    34    0.301               0              58             322          0.0000;
    35    0.310               0              59             351          0.0000;
    36    0.319               0              59             380          0.0000;
    37    0.328               0              59             409          0.0000;
    38    0.336               0              59             439          0.0000;
    39    0.345               0              59             471          0.0000;
    40    0.354               0              59             511          0.0000;
    41    0.363               0              60             546          0.0000;
    42    0.372               0              61             583          0.0000;
    43    0.381               0              61             621          0.0000;
    44    0.390               0              62             660          0.0000;
    45    0.398               0              62             700          0.0000;
    46    0.407               0              62             740          0.0000;
    47    0.416               0              62             780          0.0000;
    48    0.425               0              62             822          0.0000;
    49    0.434               0              60             866          0.0000;
    50    0.443               0              58             911          0.0000;
    51    0.452               0              55             958          0.0000;
    52    0.460               0              51            1005          0.0000;
    53    0.469               0              46            1059          0.0000;
    54    0.478               0              40            1109          0.0000;
    55    0.487               0              36            1161          0.0000;
    56    0.496               0              32            1213          0.0000;
    57    0.505               0              30            1268          0.0000;
    58    0.514               0              27            1324          0.0000;
    59    0.522               0              25            1385          0.0000;
    60    0.531               0              23            1449          0.0000;
    61    0.540               0              22            1517          0.0000;
    62    0.549               0              20            1590          0.0000;
    63    0.558               0              19            1673          0.0000;
    64    0.567               0              17            1757          0.0000;
    65    0.576               0              15            1847          0.0000;
    66    0.584               0              13            1942          0.0000;
    67    0.593               0              11            2043          0.0000;
    68    0.602               0               8            2153          0.0000;
    69    0.611               0               6            2264          0.0000;
    70    0.620               0               5            2379          0.0000;
    71    0.629               0               4            2501          0.0000;
    72    0.638               0               4            2623          0.0000;
    73    0.646               0               4            2745          0.0000;
    74    0.655               0               4            2870          0.0000;
    75    0.664               0               4            2993          0.0000;
    76    0.673               0               6            3116          0.0000;
    77    0.682               0               6            3233          0.0000;
    78    0.691               0               6            3349          0.0000;
    79    0.699               0               6            3465          0.0000;
    80    0.708               0               6            3576          0.0000;
    81    0.717               0               7            3686          0.0000;
    82    0.726               0               7            3794          0.0000;
    83    0.735               0              10            3902          0.0000;
    84    0.744               0              12            4003          0.0000;
    85    0.753               0              14            4098          0.0000;
    86    0.761               0              16            4188          0.0000;
    87    0.770               0              17            4269          0.0000;
    88    0.779               0              18            4340          0.0000;
    89    0.788               0              18            4401          0.0000;
    90    0.797               0              19            4453          0.0000;
    91    0.806               0              22            4498          0.0000;
    92    0.815               0              26            4537          0.0000;
    93    0.823               0              28            4571          0.0000;
    94    0.832               0              30            4606          0.0000;
    95    0.841               0              31            4636          0.0000;
    96    0.850               0              31            4670          0.0000;
    97    0.859               0              32            4707          0.0000;
    98    0.868               0              32            4750          0.0000;
    99    0.877               0              32            4798          0.0000;
   100    0.885               0              32            4852          0.0000;
   101    0.894               0              32            4914          0.0000;
   102    0.903               0              34            4980          0.0000;
   103    0.912               0              36            5046          0.0000;
   104    0.921               0              38            5111          0.0000;
   105    0.930               0              42            5173          0.0000;
   106    0.939               0              46            5231          0.0000;
   107    0.947               0              49            5279          0.0000;
   108    0.956               0              51            5317          0.0000;
   109    0.965               0              52            5346          0.0000;
   110    0.974               0              52            5363          0.0000;
   111    0.983               0              53            5369          0.0000;
   112    0.992               0              53            5362          0.0000;
   113    1.001               0              54            5333          0.0000;
   114    1.009               0              55            5274          0.0000;
   115    1.018               0              56            5168          0.0000;
