 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000               0              -0              93          0.0000;
     1    0.009               0              -0              93          0.0000;
     2    0.018               0              -0              93          0.0000;
     3    0.027               0              -0              94          0.0000;
     4    0.035               0              -0              96          0.0000;
     5    0.044               0              -0              98          0.0000;
     6    0.053               0              -0             101          0.0000;
     7    0.062               0              -0             104          0.0000;
     8    0.071               0              -0             108          0.0000;
     9    0.080               0               0             111          0.0000;
    10    0.089               0               0             113          0.0000;
    11    0.097               0               0             118          0.0000;
    12    0.106               0               0             122          0.0000;
    13    0.115               0               0             128          0.0000;
    14    0.124               0               0             135          0.0000;
    15    0.133               0               0             145          0.0000;
    16    0.142               0               0             157          0.0000;
    17    0.151               0               0             172          0.0000;
    18    0.159               0               0             188          0.0000;
    19    0.168               0               0             206          0.0000;
    20    0.177               0               0             227          0.0000;
    21    0.186               0               0             250          0.0000;
    22    0.195               0               0             273          0.0000;
    23    0.204               0               0             299          0.0000;
    24    0.213               0               0             326          0.0000;
    25    0.221               0               0             356          0.0000;
    26    0.230               0               0             386          0.0000;
    27    0.239               0               0             416          0.0000;
    28    0.248               0               0             445          0.0000;
    29    0.257               0               1             473          0.0000;
    30    0.266               0               2             500          0.0000;
    31    0.274               0               3             525          0.0000;
    32    0.283               0               4             550          0.0000;
    33    0.292               0               5             575          0.0000;
    34    0.301               0               6             601          0.0000;
    35    0.310               0               6             628          0.0000;
    36    0.319               0               7             658          0.0000;
    37    0.328               0               8             690          0.0000;
    38    0.336               0              10             726          0.0000;
    39    0.345               0              11             765          0.0000;
    40    0.354               0              13             807          0.0000;
    41    0.363               0              14             853          0.0000;
    42    0.372               0              16             909          0.0000;
    43    0.381               0              18             961          0.0000;
    44    0.390               0              20            1017          0.0000;
    45    0.398               0              22            1077          0.0000;
    46    0.407               0              25            1141          0.0000;
    47    0.416               0              27            1207          0.0000;
    48    0.425               0              30            1275          0.0000;
    49    0.434               0              32            1344          0.0000;
    50    0.443               0              34            1416          0.0000;
    51    0.452               0              36            1485          0.0000;
    52    0.460               0              38            1554          0.0000;
    53    0.469               0              39            1622          0.0000;
    54    0.478               0              39            1688          0.0000;
    55    0.487               0              39            1753          0.0000;
    56    0.496               0              38            1816          0.0000;
    57    0.505               0              38            1876          0.0000;
    58    0.514               0              38            1936          0.0000;
    59    0.522               0              38            1994          0.0000;
    60    0.531               0              38            2045          0.0000;
    61    0.540               0              37            2090          0.0000;
    62    0.549               0              35            2131          0.0000;
    63    0.558               0              32            2167          0.0000;
    64    0.567               0              26            2197          0.0000;
    65    0.576               0              19            2223          0.0000;
    66    0.584               0              11            2245          0.0000;
    67    0.593               0               3            2266          0.0000;
    68    0.602               0              -5            2288          0.0000;
    69    0.611               0             -12            2312          0.0000;
    70    0.620               0             -19            2339          0.0000;
    71    0.629               0             -26            2370          0.0000;
    72    0.638               0             -33            2404          0.0000;
    73    0.646               0             -40            2444          0.0000;
    74    0.655               0             -45            2484          0.0000;
    75    0.664               0             -50            2528          0.0000;
    76    0.673               0             -54            2574          0.0000;
    77    0.682               0             -57            2623          0.0000;
    78    0.691               0             -59            2674          0.0000;
    79    0.699               0             -60            2728          0.0000;
    80    0.708               0             -61            2784          0.0000;
    81    0.717               0             -61            2842          0.0000;
    82    0.726               0             -62            2902          0.0000;
    83    0.735               0             -63            2961          0.0000;
    84    0.744               0             -64            3020          0.0000;
    85    0.753               0             -65            3077          0.0000;
    86    0.761               0             -66            3135          0.0000;
    87    0.770               0             -67            3191          0.0000;
    88    0.779               0             -67            3242          0.0000;
    89    0.788               0             -67            3289          0.0000;
    90    0.797               0             -67            3332          0.0000;
    91    0.806               0             -65            3371          0.0000;
    92    0.815               0             -65            3407          0.0000;
    93    0.823               0             -63            3440          0.0000;
    94    0.832               0             -62            3470          0.0000;
    95    0.841               0             -62            3497          0.0000;
    96    0.850               0             -61            3521          0.0000;
    97    0.859               0             -60            3543          0.0000;
    98    0.868               0             -59            3565          0.0000;
    99    0.877               0             -59            3587          0.0000;
   100    0.885               0             -58            3610          0.0000;
   101    0.894               0             -57            3634          0.0000;
   102    0.903               0             -56            3656          0.0000;
   103    0.912               0             -55            3676          0.0000;
   104    0.921               0             -54            3692          0.0000;
   105    0.930               0             -53            3705          0.0000;
   106    0.939               0             -51            3713          0.0000;
   107    0.947               0             -50            3719          0.0000;
   108    0.956               0             -49            3723          0.0000;
   109    0.965               0             -49            3726          0.0000;
   110    0.974               0             -49            3729          0.0000;
   111    0.983               0             -48            3735          0.0000;
   112    0.992               0             -48            3744          0.0000;
   113    1.001               0             -48            3756          0.0000;
   114    1.009               0             -48            3772          0.0000;
   115    1.018               0             -48            3792          0.0000;
   116    1.027               0             -48            3817          0.0000;
   117    1.036               0             -46            3847          0.0000;
   118    1.045               0             -43            3889          0.0000;
   119    1.054               0             -41            3927          0.0000;
   120    1.063               0             -38            3967          0.0000;
   121    1.071               0             -35            4005          0.0000;
   122    1.080               0             -32            4041          0.0000;
   123    1.089               0             -30            4077          0.0000;
   124    1.098               0             -28            4112          0.0000;
   125    1.107               0             -26            4147          0.0000;
   126    1.116               0             -24            4181          0.0000;
   127    1.124               0             -23            4208          0.0000;
   128    1.133               0             -22            4225          0.0000;
   129    1.142               0             -19            4228          0.0000;
   130    1.151               0             -17            4203          0.0000;
   131    1.160               0             -14            4142          0.0000;
   132    1.169               0             -12            4033          0.0000;
   133    1.178               0             -12            3864          0.0000;
